gene	D0h.rep1	D0h.rep2	D1h.rep1	D1h.rep2	D2h.rep1	D2h.rep2	D4h.rep1	D4h.rep2	R1h.rep1	R1h.rep2	R2h.rep1	R2h.rep2	R4h.rep1	R4h.rep2
AT5G00395	9.361561069	15.65666858	9.595504957	7.371628891	8.282701562	12.8162737	7.628318315	22.70222638	10.30463225	8.215286527	6.950415362	7.768347163	7.51769899	7.363947215
AT1G74456	53.63921477	43.69077319	48.04067755	45.74005829	58.88798793	19.06383244	65.73997897	70.77752931	74.23627641	55.22275529	48.43916199	46.29536697	38.87200453	41.88469489
AT4G37022	5.900313625	6.673551434	4.090020526	3.993784719	16.38870549	15.38421018	33.88426345	16.98660703	26.50953483	31.73656466	9.609704718	21.95852798	6.972665813	13.18310195
AT4G01895	10.90537227	11.20977284	3.816741812	5.049188205	17.01967895	14.43039619	5.825792125	11.7125935	8.704207655	14.54798415	18.02292926	12.93386069	14.5999757	7.135310871
AT1G78190	15.01898014	14.04958197	7.405089794	8.612683569	7.023730924	6.749201885	9.651881104	8.682043595	6.152830307	4.954000338	20.84238179	19.50215027	23.90628279	24.97850895
AT2G42485	7.69414966	12.52370524	6.087390342	10.35452025	10.79466843	15.10150193	6.312269644	12.76316102	10.66336784	6.42408471	10.63368965	8.694332418	18.37060665	6.824729222
AT1G75335	21.59500854	13.45658013	3.214985376	2.480611627	7.601440394	7.733997576	5.667379758	7.353509538	15.51383712	5.780337245	15.53083591	12.20455275	12.0738802	12.61540856
AT3G05945	10.1927249	10.0115786	17.94720846	15.71446843	19.60304949	27.22973375	10.42649005	7.39717646	8.162520622	9.101210537	7.91297934	5.967231526	9.70068878	6.921993771
AT5G09990	8.510067728	5.572550539	18.00768146	3.25580276	15.40662132	19.32569827	5.553583389	2.722212666	11.32886104	3.90752731	18.48020138	18.51945605	23.7051482	23.5174263
AT4G09215	6.465441066	3.057665718	2.594702871	0.93022936	5.68326442	1.827761146	11.00138424	17.37841121	28.6003166	21.25216384	23.309254	19.43967746	15.78632885	8.13102505
AT5G03204	4.739671995	2.952228969	16.28399733	11.90052043	38.60024538	18.77036211	8.962334572	7.931964491	21.05442781	18.01697321	9.388791965	0.481265225	0	0
AT2G35736	8.57814032	9.745374774	8.087962707	3.11151863	8.45825015	9.896611061	10.83180606	17.72847555	22.22843319	17.44996506	13.45482099	6.561527417	6.525478603	9.024027801
AT5G28390	8.791694502	11.64329997	8.56299732	9.881331398	6.144147678	6.443217594	9.927584302	17.72696867	10.93940971	12.4021072	10.85442399	10.58960756	7.88804604	16.4836692
AT4G39366	74.20091377	64.10121772	42.51468704	40.37195423	43.89831828	34.11820806	21.17766466	16.51475684	14.31842159	26.12461116	79.54700016	83.27492603	48.97467655	62.44627238
AT4G18400	7.232253677	11.83953536	13.54471611	17.65693782	12.33098828	15.05522562	7.931709609	8.482700142	7.078770225	8.045032149	15.59627482	7.631748917	11.93821862	7.990939974
AT1G01725	9.489246561	8.437598108	13.58930666	12.61093062	10.79064807	10.6738528	9.751692545	14.2345869	7.496316492	14.05420836	7.635271284	18.29704064	11.87152466	9.884419278
AT3G27030	23.25616305	24.8078283	15.65558096	9.835711835	6.548933263	10.23763141	8.975488305	12.53867652	11.7865928	6.766281055	11.34945701	15.48574629	26.46966043	17.71009279
AT5G03285	23.66435946	9.297517477	25.64176955	19.15178094	46.05019662	41.59867079	32.46486917	40.24604608	22.13940818	20.4898911	39.56937237	36.94418342	42.96880893	41.32473908
AT5G20935	17.45858811	29.78391038	27.79536095	21.30563862	6.768049071	4.78199529	10.05908152	6.365430901	0.5256074	2.983538747	8.779744496	9.443928304	24.74240546	19.83482599
AT5G62040	0	0	14.55596277	9.509011236	42.08664165	28.712466	11.00138424	18.42462668	12.7015114	8.662128566	1.220279964	0	1.739213695	1.486816009
AT1G68238	41.85037636	32.65369874	5.819231054	10.1895893	4.438071738	1.308830359	3.723545434	0	8.523619258	12.75927285	17.03698565	13.4965808	23.42465438	17.84179211
AT3G15534	2.1790931	1.646435387	3.935299354	3.906963312	20.98888343	17.21418679	21.53864758	16.80966321	13.19340275	16.50930288	9.509603627	6.803887113	11.98426937	6.179579038
AT4G27530	0.401040858	0.196956757	9.415295652	16.55286637	31.18011392	14.60966598	27.34923558	31.22148956	21.19661664	18.01323137	3.831907177	1.669585527	0.930930015	1.556293393
AT5G24352	7.913982507	10.882668	7.199000753	8.710606729	9.64323713	15.62013937	11.23583997	13.22727597	7.001607561	6.090984022	14.91342153	14.73460547	11.75718826	15.18502252
AT5G46890	3.920751313	1.474878356	25.20901576	7.372393187	33.45283975	15.86040833	22.63581858	39.6266105	1.908698724	0.722297872	4.184630359	0.086822342	1.084395927	3.7228208
AT3G21351	56.78916866	35.35968615	8.234940656	6.904923975	4.861223165	6.744538994	7.494231544	3.562627314	1.482636176	3.701473616	1.827348772	0.749352564	4.011121273	5.413407281
AT4G26320	18.42707718	7.705765619	24.9311133	8.682140694	19.56013502	18.60993167	8.643944757	38.75912319	4.758892307	3.159438991	3.377560615	4.367400065	2.54105897	8.319089575
AT3G52105	5.4548354	3.750523999	16.52791524	11.21320544	20.8331002	20.56555161	24.27763098	11.99619141	8.90307667	9.24939152	4.126200896	8.421325727	8.272654355	11.99532916
AT3G02120	29.0036145	20.7654652	18.93203398	17.30772021	9.723406003	7.153003052	1.755921263	9.221827923	0.959447515	6.996819491	6.57341365	5.091692018	9.733828497	9.322869112
AT3G62920	10.64008964	9.481312983	11.35749968	4.900349349	10.05442055	17.81073215	21.89027988	24.31620639	24.19449328	18.52051507	8.515757418	14.72730638	13.44422856	12.34452556
AT3G08065	11.61729186	12.48059312	16.49994922	7.844776871	11.73592942	16.12230967	13.94253264	9.820232493	11.71224043	5.697414728	14.30886658	9.446153308	9.775552748	11.27061882
AT5G16950	15.4743923	12.60052194	10.81147743	6.696539011	7.349195287	2.893023757	8.978708211	11.42596886	15.18981817	9.54561444	7.852474209	12.51721212	9.231374769	13.84583518
AT3G19508	15.14811158	16.42370114	11.66014624	10.04877395	10.02615911	12.29174499	9.38852698	2.839839139	14.24266275	3.04607949	5.140994293	9.735223093	13.83465439	14.13392996
AT1G16916	16.05261172	11.2294104	8.296315165	7.832938612	8.843748792	12.06249586	10.34290722	8.059339104	11.8966823	7.966629192	11.41006302	11.57284785	10.17907418	6.077496095
AT4G40042	22.96822773	14.30636284	20.90817144	13.3292395	15.58791458	17.10364477	19.90589889	16.26219995	6.793372721	32.13471172	15.55617996	33.52521199	20.02593314	21.73934635
AT1G73177	27.137941	17.66620284	11.30616325	9.120112183	7.164413962	7.28935009	7.198235087	8.190871344	3.059128649	4.995804309	13.30720732	4.058622458	15.66559085	15.44170929
AT1G31258	41.32206175	56.97886019	61.23071664	43.21776701	25.36347278	20.95340455	43.35360307	96.46715106	66.91021137	54.18437869	74.03031782	84.36044648	37.63025994	46.25649806
AT5G09980	7.121068168	4.72356635	18.81706358	16.52600573	29.06371417	18.35324296	7.302642985	10.00647828	19.38276972	13.81301279	9.83061747	5.197664426	7.728324177	2.871092983
AT5G01075	19.43720675	20.74393853	7.875520909	6.080523622	8.412569705	22.43566675	5.769018563	3.452562405	4.703911523	6.877559267	18.52742141	14.3943578	21.86550255	23.57147331
AT5G59845	2.831171108	2.856013452	1.473991931	0.817434074	3.381610823	6.371445935	26.69522766	42.80980375	15.33678905	20.20733911	9.139043954	15.8481119	11.2256083	9.056639599
AT5G25240	5.925709523	6.198344985	11.21103565	11.43501457	18.39068714	8.010013631	21.8764972	27.41740734	2.183419894	2.998520649	8.088512818	16.1793497	7.431412631	10.60183008
AT3G51030	10.51450517	8.681204766	8.164140852	10.80334552	9.727468255	10.78530131	8.094768515	8.243973584	8.088978432	7.916548835	10.01010908	14.5117872	18.959765	17.74041829
AT3G17717	12.99074733	16.73875976	22.03094938	20.89140105	20.34869962	29.46572514	18.04914601	28.75337128	30.29880283	20.56103656	9.509603627	22.0980949	8.041392865	15.99101593
AT4G18422	16.23436357	16.16132895	10.82924388	13.84881338	13.64528503	12.48273535	14.48853057	11.86862455	21.28312272	29.2054276	25.54727226	12.90066373	11.40722423	6.597936073
AT4G36410	21.50668992	13.19235708	10.95084318	14.6949703	9.461444193	4.011015383	3.90540423	9.422048276	2.411796619	6.624307107	14.9247395	29.55014241	11.99734213	6.597598772
AT2G29170	19.28934418	30.31445071	11.52244263	9.870981536	8.986101114	3.294704362	8.94718386	8.614692364	8.012205087	13.97166848	10.10148767	9.651930507	6.061989642	1.583469332
AT1G71430	15.87359652	18.17775507	10.2348635	8.840440595	5.78743607	9.187511847	4.860359095	5.956033322	5.439336273	6.351004114	16.26326839	18.24352944	13.97047849	10.801833
AT3G46900	18.72312214	14.2483968	21.72950329	20.14911897	12.83818742	23.75984987	8.596993657	13.79939251	1.698141644	1.643057305	1.410229204	4.652230504	17.69791637	12.43688863
AT1G64490	21.78804593	16.86675288	12.56016811	6.545228269	10.72902099	2.049975261	10.33865025	9.014693922	3.717790312	4.196724684	21.9429861	32.57362081	14.22993023	14.68902563
AT4G16840	17.10979738	14.95709085	10.40272156	6.397366827	9.521804284	12.34725929	6.141123577	18.96431407	13.93672751	15.74050646	18.80048557	12.28723081	10.96181228	9.793540857
AT1G52905	18.7549702	9.874006906	11.5610444	14.35285357	11.41970238	4.580906257	5.385292983	9.107038736	2.265772208	6.008457577	15.9489738	13.507735	14.48865624	12.95505418
AT3G56790	1.184960562	0	34.52470624	23.85990359	10.73213672	6.24899031	5.897649281	5.003418861	23.49751492	13.33804399	5.189334899	6.248651281	3.374107168	4.138560025
AT1G49310	35.60985527	20.72166378	11.16852114	12.42381639	3.551049456	3.737559498	16.75524628	9.27906242	5.135118323	5.020070949	5.361062604	8.019744635	3.750985793	3.338596617
AT2G14660	29.18708261	20.13032989	3.828810561	9.745960305	5.08966009	3.923042249	9.030121712	2.238024642	3.039935922	4.895257251	12.82982097	8.09083566	14.30492328	17.55187278
AT5G40960	2.685317385	1.846315527	7.516736227	4.303038442	10.98831496	18.16739262	18.60183993	42.69683245	11.18234678	13.36929065	4.009054951	10.96971498	8.477405244	2.605184496
AT1G14960	12.20614243	14.5202696	16.16522851	13.17138917	20.64497396	37.73745941	12.46174498	18.07466614	0	0.880728568	0.080992033	0	0.755571517	0
AT5G15160	4.560694657	4.279060497	9.916360211	14.21314911	21.16923978	18.79886498	18.17741406	15.26926394	11.58764213	9.135509823	7.073132914	3.188076742	3.413016261	1.981163464
AT1G68945	13.82114736	7.326469123	24.96008651	10.97252137	24.23833525	9.590394234	27.0872528	35.89535229	20.5803781	19.47028507	19.91377119	7.877396437	7.333215579	6.597936073
AT3G08375	10.67016638	9.253084897	7.522674991	9.242278803	14.47543112	9.605126022	18.49336633	7.864169923	25.51362373	9.155578581	26.75102986	8.203933363	20.70735367	19.21136815
AT3G25882	13.19383321	7.713899322	24.016303	16.93208112	15.9396529	10.78994574	8.456408088	9.740977679	10.13460336	10.87994218	7.316319844	7.111169322	12.68818084	4.266704799
AT4G24410	1.893148757	2.066114995	11.39634202	6.02642707	19.10867972	4.816688197	10.11695923	43.02163546	39.94719301	26.18152752	21.35489937	12.80731692	14.45314482	18.3665507
AT4G18372	7.987153148	7.691376988	5.845131139	5.095212495	8.587408247	16.19199894	16.07647536	14.67213016	16.26835471	12.88220891	20.10789795	12.63233392	12.94196574	10.02786856
AT5G40080	21.9532939	16.53173867	13.12730075	12.36583204	9.582170429	4.874634216	6.513780025	4.634817745	6.4964501	3.168059561	12.14869446	7.540040708	17.5301869	14.90872806
AT4G34412	12.5803313	13.30727158	14.8965072	10.87505252	10.86143957	7.770126109	11.11480057	5.837322005	13.60144614	11.22191201	5.613916845	8.057471389	9.370482407	8.047200049
AT3G47965	13.05015379	5.248407056	16.33039048	12.97331368	10.25976021	10.12494367	15.04787039	28.74489696	30.09454784	13.56833785	18.90031324	12.83373932	13.54842016	14.55484637
AT5G67640	14.40312248	14.91374276	17.59699725	13.98789334	9.639048722	6.794102038	10.59392556	5.617264231	6.233870625	16.74063854	11.86383298	3.987626147	9.091344314	11.28878822
AT5G42146	13.96197208	11.46693822	6.267988112	7.430891006	10.07079066	6.78715155	5.888976268	5.828737708	10.82905835	10.41569464	17.90043036	19.45726993	20.80080978	22.03986084
AT1G09180	3.129560699	3.288402835	14.45804585	11.23848334	33.47470132	18.48367704	7.418843915	12.86864169	10.72424521	9.925225405	8.084147795	3.332941257	13.92100366	14.68659504
AT5G07475	41.71163905	17.4021155	10.24534606	6.503137893	9.247760157	8.808862324	10.21454921	15.64652794	1.723636855	5.586537279	2.582582109	3.702425317	8.160467142	7.44374725
AT2G19720	27.7013479	17.03271238	6.192532879	10.8467292	9.501279846	11.21694512	6.329563533	9.501640921	5.514413638	7.475535612	15.79677488	5.200301495	12.82643026	11.69085465
AT2G13965	21.42485877	19.68152646	12.99008334	18.26243387	21.44458077	35.50860525	23.23568222	32.94816019	20.1727516	38.03583233	25.58906045	26.63000909	28.90965711	26.91649672
AT5G66490	15.23088814	8.548687439	34.51061596	27.56235141	24.77506499	34.79105391	7.062617041	7.988998017	2.68402763	5.119461328	3.954610995	3.839936289	13.70289578	10.82989439
AT3G09085	6.17556749	9.878612319	5.098363536	7.025679641	13.42941974	34.03658555	18.87244039	26.54157349	13.88779237	19.09693798	8.008087265	14.8748949	16.05548049	15.91969115
AT5G65880	13.29232106	19.91383176	12.28541835	12.45273246	7.472054175	8.664448787	5.301042467	7.086611195	5.714056319	3.197004285	12.02716485	10.6902318	12.59144014	16.41266233
AT1G08847	53.84956463	35.53717791	11.64959407	14.70856776	32.70855087	12.84450186	9.965959838	8.881886031	24.64212388	14.11525831	69.34061443	70.05711818	38.2813025	39.18197483
AT3G12955	19.38223727	8.559619265	5.607723852	7.952549039	15.24759514	28.04521915	17.0413599	15.26574162	3.437796301	5.203781867	12.92061138	8.131629789	13.67189375	9.037509075
AT3G01795	16.58311602	12.0654807	68.03007222	38.37373635	46.24402994	41.19755866	41.44414596	34.03804845	39.72308018	19.0561201	22.00695737	23.86487709	17.1085039	16.68411858
AT5G67245	4.232649659	2.418866336	6.763682663	7.249649762	11.71461578	9.932416902	18.23041434	26.60503971	22.74982664	16.65844805	10.29447086	19.54337291	9.575089352	6.271505117
AT4G26810	17.40178657	13.69962275	12.94724154	8.671591313	11.6279871	5.5174038	3.836448695	8.771941664	12.70539337	12.83834003	9.963889865	7.393824423	10.28773814	7.714100071
AT5G08565	12.56535762	9.024290683	4.636043417	7.02006842	5.971055887	7.125213132	7.371204551	11.58826047	8.965114635	11.84491186	17.99298196	22.78069547	11.91801461	9.044485294
AT1G74458	10.80234186	6.219867016	14.64992732	11.69677288	13.00690912	17.74836076	9.804474377	14.58148173	2.954594932	6.316135413	9.046172651	7.81833182	9.223102928	8.070795234
AT5G15025	17.0075559	17.99031837	8.750578788	20.89360687	21.41381379	8.674548095	31.30475189	39.12904059	23.81414602	33.35391487	36.45958429	37.67172018	13.76716827	26.51287084
AT4G38495	9.816988364	12.32652003	10.96629138	13.56379716	13.2523225	11.37663747	23.5388108	14.95676091	22.50809561	20.15483628	16.07661292	23.70004219	20.67367222	16.49524176
AT3G09480	5.566333608	6.248466373	11.92366602	10.25007446	9.939241874	12.94167755	20.75732875	25.56385156	11.04894758	21.28150415	9.756483676	15.04764584	5.101295743	7.153548723
AT1G09794	8.460947568	7.526561767	6.438707124	9.457331827	7.31638638	10.74502007	6.53207189	8.636543755	25.7877695	24.53501841	16.58818076	21.51656608	11.26536143	10.84136673
AT4G29390	19.7954245	13.17148309	16.14481786	10.77515675	12.54237665	9.415739237	13.17874153	12.2175497	11.98072011	5.701800054	13.63281522	11.21519854	12.89587427	17.65594011
AT1G72240	6.11740697	1.612086943	29.90945396	20.57631119	5.983359098	16.15103945	2.142133231	2.75628765	15.43078059	14.37237146	14.52370764	11.56910729	7.619642752	8.250898298
AT5G08760	6.605253624	8.277619948	37.70551943	26.10172234	1.677642737	3.635060963	0.654010103	3.305956783	9.380585574	8.628085779	25.57147186	23.82416131	84.59406507	31.59878609
AT5G35110	1.333404209	3.095670603	11.82129037	11.47808431	11.80542345	9.084170035	8.962709644	19.03395703	25.23925162	19.41716234	5.429211705	5.235730602	5.852762265	5.056854449
AT3G13845	12.9203948	11.6652551	13.82719194	7.794914638	8.331067702	9.870961323	5.902202492	13.94885614	8.898622804	9.181398892	12.39207664	10.86652381	12.60266327	19.87847681
AT1G12400	9.669432139	8.470819821	14.70928595	11.86523978	10.47998829	11.42436731	11.25598387	14.82793549	8.730076432	7.919763024	13.9678209	11.15175351	9.099529076	9.887960304
AT5G02420	7.39174545	5.782602333	8.978093837	3.748143665	16.27449848	15.43262626	23.19682115	26.4121024	17.00250202	8.495808506	9.531577037	6.059246559	5.83080068	8.630785614
AT1G62510	3.559857898	2.133513572	3.632130003	3.398633253	16.69024924	13.89988147	30.23215038	23.56597151	11.26514416	11.75460569	7.494632851	7.096090623	7.395081852	15.3364486
AT4G25225	17.02675992	13.3406581	12.91585429	2.389580008	16.91494833	8.60495923	22.74965144	25.19420309	26.21228215	26.84363715	21.51163258	23.35505075	7.310789843	11.07609724
AT5G01740	12.86342054	13.984159	1.578771479	1.576733351	2.45299101	1.993147513	0	1.318324178	0.514348755	5.001219054	26.84900038	22.94161632	29.56976189	36.4693985
AT5G58570	5.969963195	3.731550016	0.2178053	5.797854494	2.516935618	8.536090074	12.33713409	13.60647275	10.26538729	16.25139761	35.54348344	37.56303483	36.28272261	34.22434827
AT4G17085	15.38256811	21.97699972	26.45705721	20.75953194	16.02247743	5.822101528	20.22042131	29.25998418	16.63816587	19.6758917	12.76521918	9.876243529	14.46842068	18.21834141
AT4G39235	9.098297189	9.73689383	13.32458386	13.58370367	10.55782338	15.17062784	9.553100742	8.242446451	7.394830392	12.63975561	15.32687082	14.84002642	8.3218073	13.83303502
AT5G63500	17.10996479	11.54760162	24.89650974	16.82058569	19.24309842	7.72075443	6.028155746	22.16126162	16.04367731	11.5882163	22.94293494	18.02625518	29.23958267	34.42080898
AT5G18790	29.93557837	30.16870816	21.57108445	18.69722415	15.84711075	9.575234551	8.467870439	14.68413471	6.009153816	9.394742601	27.24743385	26.06021237	25.62568349	23.96796762
AT5G53250	12.88781133	4.526039828	18.3769202	8.181023849	13.55250094	12.78964431	11.06045207	48.64173826	22.7337547	10.44205189	11.17907484	2.023251924	2.272968721	3.911623326
AT2G22122	20.78606762	15.48377206	23.177996	30.75442295	8.106061373	9.389666433	10.71526241	10.30830076	4.404849741	3.170737375	8.080982727	4.210601341	3.75640551	2.030112886
AT4G06880	9.367347278	8.98180136	36.38457914	16.46177196	23.18123252	18.57124158	25.77663209	7.063038268	23.57627838	14.24210726	25.70579363	23.79311235	9.318977178	11.03520406
AT3G61920	44.90587727	47.52746374	2.060284788	2.69346939	2.511234929	5.486756531	1.186067827	0.155726137	3.942460259	0.510932378	7.329734438	4.237675311	10.51981641	7.671250916
AT3G50810	6.991178554	4.854209499	10.73902492	5.853128558	12.33098828	17.64807003	16.95943727	14.950759	13.01758265	11.35001833	10.58147261	8.907191887	7.72253517	8.068900364
AT2G43520	12.16163581	9.682140316	4.700877755	5.90551336	6.07661685	6.040455148	1.654146079	0.844600588	14.2354304	18.42786149	19.80042579	23.51652556	13.43183152	14.15846271
AT4G01060	5.018392793	11.31293026	16.44196175	7.030936022	14.54300115	15.86981903	7.441120319	5.210615655	1.204705059	4.986292518	18.86567797	18.06663748	45.22149607	52.99632523
AT1G09415	20.88244239	12.22635377	19.5216729	14.07699758	17.96144931	12.27403127	13.7559293	9.725156699	7.345022374	13.64949998	9.487443843	15.76786522	19.92190232	16.36632584
AT1G01715	6.856596458	5.125554507	11.54244897	8.191069388	11.818778	9.01023841	14.19975047	12.49015223	17.32649335	14.44800014	10.65329256	10.73591655	9.577837656	8.005932357
AT2G21640	16.49314631	21.36109911	3.865969992	7.300085645	5.853109104	2.937077651	12.88733582	6.54812516	12.8907539	12.47978401	23.88262216	18.30510288	22.49684208	14.58495704
AT5G09520	23.23269057	15.51487579	14.65909843	2.748456809	14.21982334	20.09415935	17.29174627	23.96883201	10.17975775	6.126016522	5.816917375	3.561953171	7.822096618	5.10807954
AT1G32928	7.721418359	4.195510694	6.823843385	4.946028083	6.588109022	9.23371801	14.03392507	12.57303737	42.0249276	48.71971044	16.58029706	12.48194157	10.98297831	6.375321325
AT1G22065	6.757147835	9.716107009	29.60582185	10.55387492	22.12019155	26.77896661	11.60145974	11.21410205	9.180791284	9.198275789	5.990465278	6.307699541	9.184773149	8.245070596
AT3G52905	15.99891359	14.31149162	8.857077177	7.838204248	12.39206854	7.434060587	13.6382007	16.02154458	8.236428932	10.97705218	14.58730144	13.38058308	21.35436933	23.8365709
